Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep;Ekstern id
Spesielle metoder: Målt med waterstang;72;Kartverket;Gyldig;15.04.2020;1;Spesielle metoder: Målt med waterstang;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/72;;
Stereoinstrument;20;Kartverket;Gyldig;15.04.2020;1;Målt i stereoinstrument, uspesifisert instrument;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/20;;
Stereoinstrument: Analytisk plotter;22;Kartverket;Gyldig;15.04.2020;1;Målt i stereoinstrument, analytisk plotter;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/22;;
Stereoinstrument: Autograf;23;Kartverket;Gyldig;15.04.2020;1;Målt i stereoinstrument, autograf, analogt instrument;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/23;;
Stereoinstrument: Digitalt;24;Kartverket;Gyldig;15.04.2020;1;Målt i stereoinstrument, digitalt instrument;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/24;;
Tatt fra plan;18;Kartverket;Gyldig;15.04.2020;1;Tatt fra plan eller godkjent tiltak;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/18;;
Terrengmålt: Ortogonalmetoden;14;Kartverket;Gyldig;15.04.2020;1;Målt i terrenget, ortogonalmetoden;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/14;;
Terrengmålt: Teodolitt og el avstandsmåler;12;Kartverket;Gyldig;15.04.2020;1;Målt i terrenget med teodolitt og elektronisk avstandsmåler;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/12;;
Terrengmålt: Teodolitt og målebånd;13;Kartverket;Gyldig;15.04.2020;1;Målt i terrenget med teodolitt og målebånd;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/13;;
Terrengmålt: Totalstasjon;11;Kartverket;Gyldig;15.04.2020;1;Målt i terrenget med totalstasjon;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/11;;
Terrengmålt: Uspesifisert måleinstrument;10;Kartverket;Gyldig;15.04.2020;1;Målt i terrenget , uspesifisert metode/måleinstrument;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/10;;
Treghetsstedfesting;90;Kartverket;Gyldig;15.04.2020;1;Treghetsstedfesting;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/90;;
Ukjent målemetode;99;Kartverket;Gyldig;15.04.2020;1;Målemetode er ukjent;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/99;;
Utmål;15;Kartverket;Gyldig;15.04.2020;1;Punkt beregnet på bakgrunn av måling mot andre punkter, slik som to avstander eller avstand og retning  ;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/15;;
Vektorisering av laserdata;49;Kartverket;Gyldig;15.04.2020;1;Vektorisering fra laserdata, brukes også der vektoriseringen støttes av ortofoto;;;https://register.geonorge.no/sosi-kodelister/malemetode-kode/49;;
