;vegnr;vegkategori;Antall siffer;bbox
3473;FV7558;F;4;16.8495,68.4926,16.8973,68.4993
3474;FV7560;F;4;16.7092,68.2626,16.7536,68.3294
3475;FV7562;F;4;16.5437,68.3179,16.6561,68.4064
3476;FV7564;F;4;16.7324,68.3309,16.8793,68.362
3477;FV7566;F;4;16.8047,68.3417,16.8219,68.3466
3478;FV7568;F;4;16.2738,68.2991,16.506,68.3686
3479;FV757;F;3;11.4413,63.7712,11.9009,63.8217
3480;FV7570;F;4;17.4274,68.3715,17.6034,68.4124
3481;FV7572;F;4;17.2505,68.178,17.5566,68.3717
3482;FV7574;F;4;17.2927,68.3823,17.3469,68.402
3483;FV7576;F;4;17.5583,68.5521,17.739,68.5617
3484;FV7578;F;4;17.5034,68.4697,17.5362,68.4824
3485;FV7580;F;4;17.4372,68.5251,17.4963,68.5438
3486;FV7582;F;4;12.07,67.5056,12.1369,67.5279
3487;FV7584;F;4;12.0669,67.5124,12.0886,67.515
3488;FV7586;F;4;12.1062,67.5175,12.1175,67.527
3489;FV7588;F;4;12.678,67.6522,12.7197,67.6935
3490;FV759;F;3;11.4956,63.7961,11.6587,64.0062
3491;FV7590;F;4;12.7063,67.655,12.7243,67.6658
3492;FV7592;F;4;13.2349,68.0409,13.2628,68.0731
3493;FV7594;F;4;13.3653,68.1381,13.4568,68.1651
3494;FV7596;F;4;13.3121,68.0353,13.3551,68.0724
3495;FV7598;F;4;13.1847,68.0008,13.2166,68.0206
3496;FV76;F;2;12.2126,65.2599,13.3642,65.5033
3497;FV760;F;3;11.9978,64.4653,12.3001,64.5056
3498;FV7600;F;4;13.2973,68.1184,13.347,68.143
3499;FV7602;F;4;13.1348,68.088,13.1662,68.099
3500;FV7604;F;4;13.5382,68.0714,13.5464,68.0836
3501;FV7606;F;4;13.5271,68.1566,13.6267,68.1871
3502;FV7608;F;4;13.747,68.2336,13.8572,68.2583
3503;FV761;F;3;11.2861,63.874,11.4172,63.9692
3504;FV7614;F;4;13.7609,68.1166,13.8456,68.1566
3505;FV7616;F;4;13.6163,68.1544,13.6232,68.156
3506;FV7618;F;4;13.4835,68.1178,13.5605,68.1377
3507;FV762;F;3;11.4942,64.0052,11.7484,64.03
3508;FV7620;F;4;13.6711,68.241,13.7043,68.25
3509;FV7622;F;4;14.6609,68.2454,14.6665,68.2481
3510;FV7624;F;4;14.159,68.262,14.2672,68.3227
3511;FV7626;F;4;14.084,68.3041,14.2015,68.342
3512;FV7628;F;4;14.2753,68.2584,14.3556,68.3253
3513;FV763;F;3;11.4911,64.0182,12.3834,64.2665
3514;FV7630;F;4;14.9369,68.302,15.2056,68.4565
3515;FV7632;F;4;15.0378,68.296,15.0837,68.3029
3516;FV7634;F;4;14.6181,68.5001,14.9147,68.5853
3517;FV7636;F;4;14.8192,68.5833,15.1786,68.7566
3518;FV7638;F;4;14.4186,68.3129,14.8199,68.4351
3519;FV764;F;3;12.7157,64.6439,13.1135,64.6959
3520;FV7640;F;4;15.1563,68.4702,15.2803,68.5233
3521;FV7642;F;4;15.0338,68.5798,15.0387,68.583
3522;FV7644;F;4;15.1703,68.4683,15.186,68.4719
3523;FV7646;F;4;14.4719,68.6437,14.6244,68.6889
3524;FV7648;F;4;14.4103,68.6777,14.4714,68.6899
3525;FV765;F;3;13.5978,64.0909,14.0534,64.4417
3526;FV7650;F;4;14.5996,68.6595,14.6713,68.6653
3527;FV7652;F;4;14.5778,68.6781,14.605,68.7198
3528;FV7654;F;4;14.6217,68.6625,14.7586,68.7256
3529;FV7656;F;4;14.4679,68.7257,14.6017,68.8162
3530;FV7658;F;4;14.4624,68.776,14.4733,68.7779
3531;FV766;F;3;10.7592,64.3084,11.2484,64.5091
3532;FV7660;F;4;14.5779,68.7383,14.5857,68.753
3533;FV7662;F;4;14.6059,68.7423,14.6481,68.745
3534;FV7664;F;4;14.6425,68.7559,14.6804,68.7869
3535;FV7666;F;4;15.0742,68.8957,15.1004,68.9075
3536;FV7668;F;4;15.0888,68.9151,15.1798,69.0195
3537;FV767;F;3;11.2894,64.4837,11.4714,64.5167
3538;FV7670;F;4;15.1621,68.933,15.2758,68.9551
3539;FV7672;F;4;15.0423,68.9262,15.1005,68.9348
3540;FV7674;F;4;15.1115,68.8092,15.2935,68.9154
3541;FV7676;F;4;14.8807,68.8742,14.9733,68.8779
3542;FV7678;F;4;15.1714,68.9737,15.1804,68.9828
3543;FV768;F;3;11.184,64.7321,11.4546,64.8071
3544;FV7680;F;4;14.9337,68.7742,14.9927,68.7933
3545;FV7682;F;4;15.1473,68.7071,15.4095,68.7235
3546;FV7684;F;4;15.1786,68.6975,15.2075,68.7131
3547;FV7686;F;4;14.9773,68.7641,15.0737,68.8646
3548;FV7688;F;4;15.2629,68.7551,15.3892,68.8431
3549;FV769;F;3;11.3199,64.4455,11.6309,64.8466
3550;FV7690;F;4;15.5201,68.7345,15.9536,68.7933
3551;FV7692;F;4;15.7657,68.7409,15.8961,68.8143
3552;FV7694;F;4;15.6619,68.9514,15.7342,68.9686
3553;FV7696;F;4;15.419,68.876,15.586,69.0088
3554;FV7698;F;4;15.5128,68.9859,15.6741,69.1329
3555;FV770;F;3;10.9153,64.844,12.1605,64.9717
3556;FV7700;F;4;15.4328,68.9661,15.5166,69.0124
3557;FV7702;F;4;15.669,69.0508,16.0499,69.2989
3558;FV7704;F;4;16.0746,69.2446,16.1673,69.2775
3559;FV7706;F;4;15.6276,68.9668,15.6467,68.9808
3560;FV7708;F;4;13.121,68.0533,13.2033,68.088
3561;FV771;F;3;11.6993,64.9071,12.0096,65.1058
3562;FV7710;F;4;13.1595,68.0172,13.1765,68.0244
3563;FV7712;F;4;13.5407,68.0832,13.5701,68.085
3564;FV7714;F;4;13.5144,68.1537,13.5271,68.1566
3565;FV7716;F;4;13.5212,68.173,13.5627,68.2122
3566;FV7718;F;4;13.6607,68.2001,13.6887,68.212
3567;FV7720;F;4;13.5948,68.2277,13.735,68.2639
3568;FV7722;F;4;13.6331,68.2395,13.6726,68.2427
3569;FV7724;F;4;13.6668,68.2517,13.7815,68.3092
3570;FV7726;F;4;13.7803,68.2585,13.8206,68.2904
3571;FV7728;F;4;13.8645,68.2743,14.0167,68.3448
3572;FV773;F;3;13.0289,64.8451,13.5489,64.8892
3573;FV7730;F;4;13.6378,68.1107,13.7481,68.1565
3574;FV7732;F;4;13.6367,68.0833,13.658,68.1164
3575;FV7734;F;4;13.708,68.0954,13.7299,68.1123
3576;FV7736;F;4;12.9663,66.3392,13.0026,66.4878
3577;FV774;F;3;11.1675,63.7487,11.3828,63.7982
3578;FV7740;F;4;16.0929,68.7726,16.4868,68.8647
3579;FV7742;F;4;16.3085,68.8246,16.4118,68.8878
3580;FV7744;F;4;16.5188,68.7063,16.5712,68.7408
3581;FV7746;F;4;16.5322,68.806,16.5607,68.8312
3582;FV7748;F;4;16.393,68.7306,16.4353,68.7921
3583;FV775;F;3;12.3028,64.5304,12.4042,64.6285
3584;FV7750;F;4;16.5398,68.7815,16.5619,68.7956
